,Season,Round,Home,Away,FormDiff_01,FormDiff_033,FormDiff_05,FormDiff_066,L_k_Pts_Diff,L_k_St_A_Diff,L_k_Gls_A_Diff,L_k_cor_A_Diff,L_k_Off_A_Diff,L_k_Poss_A_Diff,L_k_Fls_A_Diff,Att_Diff,Mid_Diff,Def_Diff,Rat_Diff,Bud_Diff,Goal_Diff,Pts_Diff,W_Pts_Diff,Result
0,2011/2012,9,Werder Bremen,Borussia Dortmund,0.1656683099999996,0.19886551447183454,-0.09765625,-0.5006758307637504,0.375,-1.375,0.375,0.5,2.0,-7.625,4.5,-2,-7,-5,0,-7000000,3,3,0.04629629629629639,A
1,2011/2012,9,Bayern Munich,Hertha BSC,0.3636966100000001,0.7208034137844441,0.30078125,-0.7531546144936712,0.875,1.25,1.125,2.75,-0.75,11.5,-2.75,12,12,8,2,50000000,9,7,0.25,H
2,2011/2012,9,Mainz 05,Augsburg,0.09119807999999996,-0.08067275584187816,-0.15625,-0.07991026771537918,0.5,1.0,0.75,2.625,3.5,5.25,2.25,3,5,4,0,3500000,6,4,0.04629629629629631,A
3,2011/2012,9,Stuttgart,Hoffenheim,-0.06710861000000001,-0.686235016253744,-1.42578125,-2.06167073728873,0.0,0.875,0.0,0.125,0.625,-1.75,-2.625,1,0,1,1,-1500000,0,0,0.05555555555555558,H
4,2011/2012,9,Wolfsburg,Nürnberg,-0.13839822000000013,-0.0792271100964883,0.0703125,0.12184920772654079,-0.25,-0.875,0.0,0.625,-1.125,-9.0,0.375,5,3,0,1,22000000,0,-2,-0.04629629629629628,H
5,2011/2012,9,Borussia Mönchengladbach,Bayer Leverkusen,0.14004548999999988,0.15241166355202584,-0.01171875,-0.20068049821416967,0.375,1.375,-0.125,1.625,-1.875,0.375,-0.375,-1,-5,-1,-1,-12000000,-1,3,0.09259259259259256,D
6,2011/2012,9,Schalke 04,Kaiserslautern,0.46903968000000007,0.8993325411257418,0.90625,0.7578799816439807,1.25,2.375,1.5,0.125,-0.375,0.125,-2.375,13,7,4,1,5000000,12,10,0.45370370370370366,A
7,2011/2012,9,Freiburg,Hamburger SV,0.15947488999999992,0.40972384665340594,0.66015625,1.0152375096424706,0.375,1.75,0.5,-1.875,-0.125,1.5,-0.125,-6,-2,-5,-1,-5500000,4,3,0.12962962962962965,A
8,2011/2012,9,Köln,Hannover 96,-0.30168549000000033,-0.6169004679833261,-1.05078125,-2.1006170463362306,-0.625,-1.375,0.25,-0.75,-0.625,-0.375,0.75,2,-1,-1,-1,-2000000,2,-5,-0.10185185185185186,H
9,2011/2012,10,Augsburg,Werder Bremen,-0.2936305709999998,-0.07366760406647876,0.275390625,0.4595127552036849,-0.875,-4.0,-1.125,-3.25,-1.875,-10.625,0.625,-7,-5,-5,-1,-6000000,-9,-9,-0.12962962962962965,D
10,2011/2012,10,Borussia Dortmund,Köln,0.10474605000000037,-0.10457203865167974,-0.57421875,-1.5080621513675527,0.0,5.5,-0.375,1.375,-0.625,10.375,-6.625,0,6,5,1,10000000,0,3,0.03703703703703698,H
11,2011/2012,10,Nürnberg,Stuttgart,-0.30073600099999986,-0.9842381375947311,-1.470703125,-1.870819120089064,-0.625,0.875,-0.25,0.875,-0.25,3.125,1.125,-3,-4,-2,-1,-4000000,-4,-5,-0.37037037037037035,D
12,2011/2012,10,Kaiserslautern,Freiburg,0.0738225990000001,0.12724914924221808,0.138671875,0.14170441472156003,0.25,-0.25,-0.625,1.625,-0.5,-0.125,2.75,-2,-2,2,0,2500000,-7,1,0.1111111111111111,H
13,2011/2012,10,Hoffenheim,Borussia Mönchengladbach,-0.17785124099999994,-0.026861725327867347,0.138671875,0.0703398023515377,-0.125,-3.125,0.125,-1.875,1.875,-4.125,3.375,-2,2,0,0,2500000,1,-4,-0.15740740740740744,H
14,2011/2012,10,Hertha BSC,Mainz 05,0.25166421000000005,0.5626109832210352,0.67578125,0.7127260320128257,0.875,-0.5,0.25,-2.375,-1.625,-3.5,-3.0,0,1,0,0,-1500000,0,4,0.3425925925925926,D
15,2011/2012,10,Hamburger SV,Wolfsburg,-0.2114721610000001,-0.22099184648334547,0.060546875,0.5208845542713586,-0.25,-1.0,0.25,-1.25,1.375,5.0,0.25,1,0,1,0,-17000000,0,-5,-0.10185185185185186,D
16,2011/2012,10,Bayer Leverkusen,Schalke 04,0.05007340800000004,0.27161869338147127,0.390625,0.4170864951199458,-0.125,-2.5,-0.75,-0.875,-0.25,1.0,-1.125,-6,1,0,0,8000000,-6,-1,-0.037037037037037035,A
17,2011/2012,10,Hannover 96,Bayern Munich,-0.443268239,-1.4200196574420636,-1.873046875,-2.2645527853328624,-1.25,-3.125,-2.0,-0.375,0.875,-12.125,4.25,-8,-11,-6,-1,-47000000,-14,-7,-0.4074074074074074,H
18,2011/2012,11,Freiburg,Bayer Leverkusen,-0.3286251081,-0.3593343350089429,-0.2119140625,-0.09344683472943766,-0.625,-0.5,0.0,-0.125,0.625,-0.875,2.25,-5,-6,-6,-1,-15500000,2,-7,-0.1388888888888889,A
19,2011/2012,11,Bayern Munich,Nürnberg,0.5132987529999999,0.9144312003700148,0.533203125,-0.1714852832895548,1.25,2.75,1.875,-0.25,0.125,11.125,-2.875,13,14,8,2,51000000,14,10,0.36111111111111105,H
20,2011/2012,11,Schalke 04,Hoffenheim,0.004537801800000185,-0.31367752231183,-0.529296875,-0.5940277781228502,0.25,2.375,0.375,0.0,-0.875,-2.75,-0.25,9,2,1,1,1500000,6,2,0.11111111111111116,H
21,2011/2012,11,Wolfsburg,Hertha BSC,-0.05967559509999998,0.024193388675606498,0.1806640625,0.44516584325834546,-0.25,-0.75,-0.125,1.875,-1.25,-2.25,4.125,4,1,0,1,21000000,0,0,0.06481481481481483,A
22,2011/2012,11,Borussia Mönchengladbach,Hannover 96,-0.21057520100000016,-1.2053939424536309,-2.111328125,-3.0184380706644345,0.125,2.875,0.0,1.75,-1.875,5.25,-3.625,-1,-1,-1,-1,-1000000,-2,-1,-0.14814814814814814,H
23,2011/2012,11,Stuttgart,Borussia Dortmund,-0.1455388281000003,-0.8833575747235114,-1.7744140625,-2.982144025184284,-0.375,-3.125,-0.625,0.5,0.875,-6.625,4.125,-4,-4,-4,0,-8000000,-4,-2,-0.13888888888888884,D
24,2011/2012,11,Mainz 05,Werder Bremen,-0.31053177089999984,-0.286239455319679,-0.0986328125,0.062106150025464935,-1.375,-2.625,-0.875,-1.375,1.125,-2.375,3.875,-4,0,-1,-1,-2500000,-5,-8,-0.26851851851851855,A
25,2011/2012,11,Köln,Augsburg,0.13058365589999987,0.2644572191235691,0.4521484375,0.6784311285433134,0.875,-1.125,1.125,0.0,0.875,5.25,0.5,9,6,5,0,3000000,7,5,0.15740740740740744,H
26,2011/2012,11,Hamburger SV,Kaiserslautern,-0.12537011790000008,-0.130794212977415,-0.1201171875,-0.17765239467974925,-0.375,-0.25,0.25,-0.25,-0.25,2.0,1.25,8,4,3,1,3000000,4,-3,-0.1296296296296297,D
27,2011/2012,12,Mainz 05,Stuttgart,-0.4697176139100002,-1.0475889621751913,-1.55810546875,-2.4729249581657826,-1.375,1.25,-0.75,1.375,2.125,3.375,2.875,-2,-3,-2,-1,-1500000,-4,-9,-0.462962962962963,H
28,2011/2012,12,Borussia Dortmund,Wolfsburg,0.4586584807800004,1.203558185190777,1.4677734375,1.4448270756819697,0.5,4.125,0.75,-0.75,0.25,10.25,-7.5,2,5,6,0,-10000000,7,7,0.2962962962962963,H
