Season,Round,HomeTeam,AwayTeam,Date,Hour,HomeTeamPlayers,AwayTeamPlayers,GoalsHome,GoalsAway,CornersHome,CornersAway,ShotsTargetHome,ShotsTargetAway,ShotsWideHome,ShotsWideAway,FoulsHome,FoulsAway,OffsidesHome,OffsidesAway,HomeTeamPossession,AwayTeamPossession
2011/2012,1,Borussia Dortmund,Hamburger SV,05/08/2011,20:30,R. Weidenfeller/M. Hummels/Ł. Piszczek/S. Bender/Felipe Santana/C. Löwe/K. Großkreutz/S. Kagawa/İ. Gündoğan/M. Götze/R. Lewandowski,J. Drobný/H. Westermann/M. Mancienne/D. Aogo/D. Diekmeier/G. Kačar/T. Rincón/G. Töre/P. Guerrero/E. Elia/M. Petrić,3,1,7,7,10,4,6,3,9,18,1,4,58,42
2011/2012,1,Werder Bremen,Kaiserslautern,06/08/2011,15:30,T. Wiese/P. Mertesacker/A. Wolf/S. Papastathopoulos/L. Schmitz/C. Fritz/A. Hunt/M. Marin/P. Bargfrede/M. Rosenberg/L. Thy,K. Trapp/M. Abel/L. Jessen/F. Dick/Rodnei/I. Iličević/P. De Wit/C. Tiffert/O. Şahan/T. Petsos/R. Sukuta-Pasu,2,0,6,5,13,5,7,5,15,27,6,6,54,46
2011/2012,1,Hannover 96,Hoffenheim,06/08/2011,15:30,R. Zieler/Sofian Chahed/K. Haggui/C. Schulz/E. Pogatetz/K. Rausch/Sérgio Pinto/L. Stindl/M. Schmiedebach/J. Schlaudraff/M. Abdellaoue,T. Starke/M. Compper/A. Beck/E. Braafheid/I. Vorsah/S. Salihović/F. Johnson/S. Rudy/R. Babel/C. Obasi/P. Mlapa,2,1,4,5,4,5,3,9,14,20,0,7,45,55
2011/2012,1,Stuttgart,Schalke 04,06/08/2011,15:30,S. Ulreich/K. Boulahrouz/F. Rodríguez/S. Taşçı/C. Molinaro/C. Gentner/W. Kvist/T. Hajnal/Z. Kuzmanović/M. Harnik/Cacau,R. Fährmann/C. Fuchs/B. Höwedes/K. Papadopoulos/J. Matip/J. Jones/A. Baumjohann/L. Holtby/M. Höger/Raúl/K. Huntelaar,3,0,2,6,11,8,3,7,14,19,6,4,48,52
2011/2012,1,Köln,Wolfsburg,06/08/2011,15:30,M. Rensing/C. Eichner/M. Brečko/S. Riether/Pedro Geromel/K. Pezzoni/A. Chihi/M. Lanig/M. Jajalo/L. Podolski/M. Novakovič,D. Benaglio/P. Ochs/M. Russ/M. Hasebe/S. Kjær/H. Salihamidžić/Josué/M. Schäfer/C. Träsch/P. Helmes/M. Mandžukić,0,3,7,5,6,14,3,4,17,21,1,4,57,43
2011/2012,1,Augsburg,Freiburg,06/08/2011,15:30,S. Jentzsch/U. Möhrle/J. Callsen-Bracker/P. Verhaegh/M. de Jong/J. De Roeck/M. Ndjeng/L. Davids/T. Werner/D. Baier/S. Mölders,O. Baumann/H. Butscher/O. Barth/M. Mujdža/F. Bastians/C. Makiadi/Y. Abdessadki/J. Schuster/J. Flum/D. Caligiuri/P. Cissé,2,2,5,4,8,6,3,4,19,29,0,0,46,54
2011/2012,1,Hertha BSC,Nürnberg,06/08/2011,18:30,T. Kraft/L. Kobiashvili/C. Lell/M. Franz/A. Mijatović/P. Ebert/A. Ottl/P. Niemeyer/T. Torun/A. Ramos/P. Lasogga,R. Schäfer/J. Pinola/T. Klose/P. Wollscheid/M. Feulner/T. Simons/A. Cohen/T. Chandler/M. Mendler/C. Eigler/T. Pekhart,0,1,2,3,3,8,1,4,26,26,2,3,50,50
2011/2012,1,Mainz 05,Bayer Leverkusen,07/08/2011,15:30,H. Müller/N. Noveski/B. Svensson/Zdeněk Pospěch/M. Caligiuri/E. Polanski/E. Soto/A. Ivanschitz/M. Risse/S. Allagui/Z. Stieber,F. Giefer/M. Kadlec/D. Schwaab/L. Bender/Ö. Toprak/S. Rolfes/Renato Augusto/S. Sam/S. Reinartz/A. Schürrle/E. Derdiyok,2,0,7,3,5,4,16,5,22,19,4,4,44,56
2011/2012,1,Bayern Munich,Borussia Mönchengladbach,07/08/2011,17:30,M. Neuer/P. Lahm/Rafinha/J. Boateng/H. Badstuber/A. Robben/B. Schweinsteiger/Luiz Gustavo/T. Kroos/M. Gómez/T. Müller,M. ter Stegen/F. Daems/H. Nordtveit/R. Brouwers/Dante/T. Jantschke/J. Arango/R. Neustädter/M. Hanke/I. de Camargo/M. Reus,0,1,12,2,7,2,10,6,10,11,5,1,59,41
2011/2012,2,Schalke 04,Köln,13/08/2011,15:30,R. Fährmann/C. Metzelder/C. Fuchs/B. Höwedes/J. Matip/L. Holtby/J. Morávek/M. Höger/J. Draxler/Raúl/K. Huntelaar,M. Rensing/K. McKenna/C. Eichner/M. Brečko/S. Riether/Pedro Geromel/A. Chihi/M. Lanig/S. Peszko/M. Jajalo/L. Podolski,5,1,7,2,15,2,3,4,18,18,5,3,60,40
2011/2012,2,Hamburger SV,Hertha BSC,13/08/2011,15:30,J. Drobný/H. Westermann/M. Mancienne/D. Aogo/D. Diekmeier/J. Bruma/P. Skjelbred/G. Töre/E. Elia/M. Petrić/Son Heung-Min,T. Kraft/L. Kobiashvili/C. Lell/M. Franz/A. Mijatović/P. Ebert/A. Ottl/P. Niemeyer/T. Torun/Raffael/A. Ramos,2,2,5,6,4,11,5,11,15,13,1,2,45,55
2011/2012,2,Nürnberg,Hannover 96,13/08/2011,15:30,R. Schäfer/J. Pinola/T. Klose/P. Wollscheid/M. Feulner/T. Simons/A. Esswein/A. Cohen/T. Chandler/R. Mak/T. Pekhart,R. Zieler/Sofian Chahed/K. Haggui/C. Schulz/E. Pogatetz/K. Rausch/Sérgio Pinto/L. Stindl/M. Schmiedebach/J. Schlaudraff/M. Abdellaoue,1,2,8,6,11,3,5,2,18,22,9,3,58,42
2011/2012,2,Freiburg,Mainz 05,13/08/2011,15:30,O. Baumann/H. Butscher/P. Krmaš/O. Barth/M. Mujdža/C. Makiadi/Y. Abdessadki/J. Schuster/A. Putilo/J. Flum/P. Cissé,H. Müller/N. Noveski/M. Fathi/N. Bungert/M. Caligiuri/E. Polanski/E. Soto/A. Ivanschitz/M. Risse/S. Allagui/E. Choupo-Moting,1,2,4,6,10,9,8,4,9,21,6,6,53,47
2011/2012,2,Hoffenheim,Borussia Dortmund,13/08/2011,15:30,T. Starke/M. Compper/A. Beck/E. Braafheid/I. Vorsah/S. Salihović/F. Johnson/S. Rudy/R. Babel/C. Obasi/Roberto Firmino,R. Weidenfeller/M. Hummels/Ł. Piszczek/S. Bender/Felipe Santana/C. Löwe/K. Großkreutz/S. Kagawa/İ. Gündoğan/M. Götze/R. Lewandowski,1,0,5,6,5,13,10,5,17,12,4,2,40,60
2011/2012,2,Wolfsburg,Bayern Munich,13/08/2011,15:30,D. Benaglio/P. Ochs/M. Russ/M. Hasebe/S. Kjær/H. Salihamidžić/Josué/M. Schäfer/C. Träsch/P. Helmes/M. Mandžukić,M. Neuer/P. Lahm/Rafinha/J. Boateng/H. Badstuber/B. Schweinsteiger/F. Ribéry/Luiz Gustavo/T. Kroos/M. Gómez/T. Müller,0,1,9,8,6,5,2,5,12,16,2,5,41,59
2011/2012,2,Borussia Mönchengladbach,Stuttgart,13/08/2011,18:30,M. ter Stegen/F. Daems/H. Nordtveit/R. Brouwers/Dante/T. Jantschke/J. Arango/R. Neustädter/M. Hanke/R. Bobadilla/M. Reus,S. Ulreich/K. Boulahrouz/F. Rodríguez/S. Taşçı/C. Molinaro/C. Gentner/W. Kvist/T. Hajnal/Z. Kuzmanović/M. Harnik/Cacau,1,1,2,5,3,6,6,7,12,12,0,8,51,49
2011/2012,2,Kaiserslautern,Augsburg,14/08/2011,15:30,K. Trapp/M. Abel/L. Jessen/F. Dick/Rodnei/I. Iličević/C. Tiffert/O. Şahan/T. Petsos/R. Sukuta-Pasu/I. Shechter,S. Jentzsch/U. Möhrle/J. Callsen-Bracker/P. Verhaegh/M. de Jong/J. De Roeck/M. Ndjeng/L. Davids/D. Baier/A. Bellinghausen/S. Mölders,1,1,7,1,13,6,4,7,24,9,1,5,62,38
2011/2012,2,Bayer Leverkusen,Werder Bremen,14/08/2011,17:30,B. Leno/M. Kadlec/L. Bender/Ö. Toprak/M. Ballack/Renato Augusto/S. Sam/S. Reinartz/G. Castro/A. Schürrle/S. Kießling,T. Wiese/P. Mertesacker/S. Prödl/S. Papastathopoulos/L. Schmitz/C. Fritz/A. Hunt/M. Ekici/Wesley/M. Rosenberg/L. Thy,1,0,7,1,5,3,10,6,17,18,3,3,53,47
2011/2012,3,Borussia Mönchengladbach,Wolfsburg,19/08/2011,20:30,M. ter Stegen/F. Daems/H. Nordtveit/Dante/T. Jantschke/T. Marx/J. Arango/R. Neustädter/M. Hanke/R. Bobadilla/M. Reus,D. Benaglio/M. Russ/M. Hasebe/S. Kjær/T. Hitzlsperger/H. Salihamidžić/Josué/M. Schäfer/C. Träsch/P. Helmes/M. Mandžukić,4,1,8,6,12,3,8,4,14,21,1,1,62,38
2011/2012,3,Borussia Dortmund,Nürnberg,20/08/2011,15:30,R. Weidenfeller/M. Hummels/Ł. Piszczek/S. Bender/N. Subotić/M. Schmelzer/K. Großkreutz/S. Kagawa/İ. Gündoğan/M. Götze/R. Lewandowski,P. Rakovsky/J. Pinola/T. Klose/P. Wollscheid/M. Feulner/T. Simons/J. Hegeler/A. Cohen/T. Chandler/C. Eigler/T. Pekhart,2,0,5,5,7,6,7,6,13,14,2,0,52,48
2011/2012,3,Bayern Munich,Hamburger SV,20/08/2011,15:30,M. Neuer/P. Lahm/Rafinha/D. Van Buyten/H. Badstuber/A. Robben/B. Schweinsteiger/F. Ribéry/A. Tymoshchuk/M. Gómez/T. Müller,J. Drobný/M. Jansen/H. Westermann/M. Mancienne/D. Aogo/D. Diekmeier/J. Bruma/D. Jarolím/T. Rincón/G. Töre/Son Heung-Min,5,0,5,3,17,2,8,2,14,20,1,1,62,38
2011/2012,3,Werder Bremen,Freiburg,20/08/2011,15:30,T. Wiese/P. Mertesacker/A. Wolf/S. Papastathopoulos/L. Schmitz/C. Fritz/A. Hunt/M. Marin/P. Bargfrede/M. Rosenberg/C. Pizarro,O. Baumann/P. Krmaš/O. Barth/F. Bastians/C. Makiadi/Y. Abdessadki/J. Schuster/J. Flum/D. Williams/S. Reisinger/P. Cissé,5,3,11,2,15,8,9,3,15,28,3,2,54,46
2011/2012,3,Stuttgart,Bayer Leverkusen,20/08/2011,15:30,S. Ulreich/K. Boulahrouz/F. Rodríguez/S. Taşçı/C. Molinaro/C. Gentner/W. Kvist/T. Hajnal/Z. Kuzmanović/M. Harnik/Cacau,B. Leno/M. Kadlec/L. Bender/Ö. Toprak/S. Rolfes/Renato Augusto/S. Sam/S. Reinartz/G. Castro/A. Schürrle/S. Kießling,0,1,5,4,6,5,5,6,17,15,7,0,49,51
2011/2012,3,Augsburg,Hoffenheim,20/08/2011,15:30,S. Jentzsch/P. Verhaegh/G. Sankoh/M. de Jong/J. De Roeck/H. Hosogai/D. Baier/A. Bellinghausen/A. Sinkala/A. Gogia/S. Mölders,T. Starke/M. Compper/A. Beck/E. Braafheid/I. Vorsah/S. Salihović/F. Johnson/S. Rudy/R. Babel/C. Obasi/Roberto Firmino,0,2,4,2,4,6,8,13,17,19,3,1,48,52
2011/2012,3,Köln,Kaiserslautern,20/08/2011,18:30,M. Varvodić/K. McKenna/C. Eichner/M. Brečko/S. Riether/Pedro Geromel/A. Chihi/M. Lanig/S. Peszko/M. Jajalo/M. Novakovič,K. Trapp/M. Amedick/L. Jessen/F. Dick/Rodnei/I. Iličević/O. Kirch/C. Tiffert/K. Fortounis/R. Sukuta-Pasu/I. Shechter,1,1,7,5,6,5,6,4,19,22,3,5,52,48
2011/2012,3,Mainz 05,Schalke 04,21/08/2011,15:30,H. Müller/N. Noveski/B. Svensson/M. Fathi/M. Caligiuri/E. Polanski/E. Soto/A. Ivanschitz/M. Risse/S. Allagui/Z. Stieber,R. Fährmann/C. Fuchs/B. Höwedes/K. Papadopoulos/J. Matip/José Jurado/L. Holtby/J. Morávek/M. Höger/Raúl/K. Huntelaar,2,4,6,5,7,6,7,6,15,17,4,5,48,52
2011/2012,3,Hannover 96,Hertha BSC,21/08/2011,17:30,R. Zieler/K. Haggui/C. Schulz/E. Pogatetz/K. Rausch/S. Cherundolo/Sérgio Pinto/L. Stindl/M. Schmiedebach/J. Schlaudraff/M. Abdellaoue,T. Kraft/L. Kobiashvili/C. Lell/M. Franz/A. Mijatović/P. Ebert/A. Ottl/P. Niemeyer/T. Torun/Raffael/A. Ramos,1,1,3,6,6,5,8,4,21,26,2,6,45,55
2011/2012,4,Hertha BSC,Stuttgart,26/08/2011,20:30,T. Kraft/L. Kobiashvili/C. Lell/R. Hubník/A. Mijatović/P. Ebert/A. Ottl/P. Niemeyer/Raffael/A. Ramos/P. Lasogga,S. Ulreich/F. Rodríguez/S. Taşçı/C. Molinaro/S. Celozzi/W. Kvist/T. Hajnal/Z. Kuzmanović/M. Harnik/Cacau/S. Okazaki,1,0,4,3,12,8,4,13,10,12,4,2,49,51
