,Round,Home,Away,HGoals,AGoals,OddsH,OddsD,OddsA
0,14,Bayern Munich,Mainz,5,2,1.09,12.07,29.58
1,14,Dortmund,Wolfsburg,2,0,1.55,4.67,6.07
2,14,Arminia Bielefeld,B. Monchengladbach,0,1,5.83,4.03,1.65
3,14,Eintracht Frankfurt,Bayer Leverkusen,2,1,3.34,3.97,2.12
4,14,FC Koln,Augsburg,0,1,2.26,3.48,3.41
5,14,Hertha Berlin,Schalke,3,0,1.7,4.09,5.23
6,14,Hoffenheim,Freiburg,1,3,2.18,3.72,3.38
7,14,Stuttgart,RB Leipzig,0,1,4.32,4.1,1.82
8,14,Werder Bremen,Union Berlin,0,2,3.12,3.21,2.57
9,13,Freiburg,Hertha Berlin,4,1,2.71,3.43,2.77
10,13,Wolfsburg,Stuttgart,1,0,2.72,3.65,2.59
11,13,Augsburg,Eintracht Frankfurt,0,2,3.89,3.9,1.96
12,13,Bayer Leverkusen,Bayern Munich,1,2,3.49,4.26,1.99
13,13,B. Monchengladbach,Hoffenheim,1,2,1.88,4.29,3.83
14,13,Mainz,Werder Bremen,0,1,2.46,3.34,3.16
15,13,RB Leipzig,FC Koln,0,0,1.4,5.11,8.59
16,13,Schalke,Arminia Bielefeld,0,1,2.41,3.17,3.42
17,13,Union Berlin,Dortmund,2,1,4.98,3.96,1.75
18,12,Arminia Bielefeld,Augsburg,0,1,2.7,3.31,2.85
19,12,Bayern Munich,Wolfsburg,2,1,1.36,6.0,7.94
20,12,FC Koln,Bayer Leverkusen,0,4,5.09,4.42,1.66
21,12,Hoffenheim,RB Leipzig,0,1,4.65,4.8,1.66
22,12,Schalke,Freiburg,0,2,3.4,3.47,2.27
23,12,Eintracht Frankfurt,B. Monchengladbach,3,3,2.77,3.79,2.52
24,12,Hertha Berlin,Mainz,0,0,1.96,3.8,4.0
25,12,Stuttgart,Union Berlin,2,2,2.04,3.63,3.91
26,12,Werder Bremen,Dortmund,1,2,6.31,4.78,1.52
27,11,Augsburg,Schalke,2,2,2.23,3.5,3.48
28,11,Bayer Leverkusen,Hoffenheim,4,1,1.75,4.45,4.42
29,11,B. Monchengladbach,Hertha Berlin,1,1,2.26,3.62,3.29
30,11,Dortmund,Stuttgart,1,5,1.46,4.99,7.18
31,11,Freiburg,Arminia Bielefeld,2,0,1.8,3.91,4.7
32,11,Mainz,FC Koln,0,1,2.52,3.54,2.92
33,11,RB Leipzig,Werder Bremen,2,0,1.37,5.23,9.41
34,11,Union Berlin,Bayern Munich,1,1,8.67,5.95,1.35
