,Round,Home,Away,HGoals,AGoals,OddsH,OddsD,OddsA
0,34,Bayer Leverkusen,Hannover,3,2,1.19,7.0,13.0
1,34,Bayern Munich,Stuttgart,1,4,1.16,8.0,13.0
2,34,Freiburg,Augsburg,2,0,2.04,3.2,3.89
3,34,Hamburger SV,B. Monchengladbach,2,1,2.2,3.75,3.0
4,34,Hertha Berlin,RB Leipzig,2,6,4.33,4.0,1.75
5,34,Hoffenheim,Dortmund,3,1,2.14,4.0,2.79
6,34,Mainz,Werder Bremen,1,2,2.54,3.75,2.6
7,34,Schalke,Eintracht Frankfurt,1,0,2.14,3.39,3.29
8,34,Wolfsburg,FC Koln,4,1,1.6,4.0,6.0
9,33,Augsburg,Schalke,1,2,2.89,3.29,2.45
10,33,B. Monchengladbach,Freiburg,3,1,2.0,3.5,3.75
11,33,Dortmund,Mainz,1,2,1.3,5.5,10.0
12,33,Eintracht Frankfurt,Hamburger SV,3,0,1.85,3.79,4.0
13,33,FC Koln,Bayern Munich,1,3,10.0,6.5,1.25
14,33,Hannover,Hertha Berlin,3,1,2.54,3.39,2.75
15,33,RB Leipzig,Wolfsburg,4,1,1.72,4.2,4.33
16,33,Stuttgart,Hoffenheim,2,0,3.0,3.75,2.2
17,33,Werder Bremen,Bayer Leverkusen,0,0,3.79,4.0,1.85
18,32,Mainz,RB Leipzig,3,0,3.6,3.5,2.04
19,32,Werder Bremen,Dortmund,1,1,4.0,4.0,1.8
20,32,Bayer Leverkusen,Stuttgart,0,1,1.44,4.5,7.0
21,32,Bayern Munich,Eintracht Frankfurt,4,1,2.0,3.6,3.5
22,32,Freiburg,FC Koln,3,2,2.1,3.5,3.39
23,32,Hertha Berlin,Augsburg,2,2,2.0,3.5,3.75
24,32,Schalke,B. Monchengladbach,1,1,1.9,3.75,4.0
25,32,Wolfsburg,Hamburger SV,1,3,2.2,3.39,3.29
26,32,Hoffenheim,Hannover,3,1,1.25,6.5,10.0
27,31,Augsburg,Mainz,2,0,2.39,3.25,3.0
28,31,FC Koln,Schalke,2,2,3.5,3.5,2.04
29,31,Dortmund,Bayer Leverkusen,4,0,2.1,3.6,3.39
30,31,Eintracht Frankfurt,Hertha Berlin,0,3,1.95,3.39,4.2
31,31,Hamburger SV,Freiburg,1,0,2.04,3.29,3.79
32,31,Hannover,Bayern Munich,0,3,7.0,5.0,1.39
33,31,RB Leipzig,Hoffenheim,2,5,2.2,3.75,3.1
34,31,Stuttgart,Werder Bremen,2,0,2.37,3.39,2.89
35,31,B. Monchengladbach,Wolfsburg,3,0,1.72,3.89,4.75
36,30,Mainz,Freiburg,2,0,2.1,3.2,3.75
37,30,Schalke,Dortmund,2,0,3.0,3.39,2.35
38,30,Werder Bremen,RB Leipzig,1,1,2.54,3.6,2.54
39,30,Bayer Leverkusen,Eintracht Frankfurt,4,1,1.64,3.79,5.25
40,30,Bayern Munich,B. Monchengladbach,5,1,1.36,5.5,8.0
41,30,Hertha Berlin,FC Koln,2,1,1.75,3.79,4.33
42,30,Hoffenheim,Hamburger SV,2,0,1.5,4.33,6.5
43,30,Stuttgart,Hannover,1,1,1.8,3.75,4.5
44,30,Wolfsburg,Augsburg,0,0,2.14,3.25,3.6
45,29,RB Leipzig,Bayer Leverkusen,1,4,2.14,3.75,3.1
46,29,Dortmund,Stuttgart,3,0,1.5,4.5,5.75
47,29,Eintracht Frankfurt,Hoffenheim,1,1,2.29,3.7,2.87
48,29,Augsburg,Bayern Munich,1,4,7.5,4.75,1.39
49,29,B. Monchengladbach,Hertha Berlin,2,1,1.75,3.75,4.75
50,29,FC Koln,Mainz,1,1,2.04,3.6,3.6
51,29,Freiburg,Wolfsburg,0,2,2.29,3.1,3.5
52,29,Hamburger SV,Schalke,3,2,4.33,3.5,1.85
53,29,Hannover,Werder Bremen,2,1,3.1,3.5,2.2
54,28,Mainz,B. Monchengladbach,0,0,3.1,3.29,2.29
55,28,Werder Bremen,Eintracht Frankfurt,2,1,2.29,3.39,3.1
56,28,Bayer Leverkusen,Augsburg,0,0,1.44,4.5,7.0
57,28,Bayern Munich,Dortmund,6,0,1.33,5.5,8.5
58,28,Hannover,RB Leipzig,2,3,4.33,4.0,1.75
59,28,Hertha Berlin,Wolfsburg,0,0,2.25,3.29,3.25
60,28,Hoffenheim,FC Koln,6,0,1.57,4.5,5.5
61,28,Schalke,Freiburg,2,0,1.57,3.75,7.0
62,28,Stuttgart,Hamburger SV,1,1,1.6,3.75,5.75
63,27,Dortmund,Hannover,1,0,1.44,4.75,6.5
64,27,FC Koln,Bayer Leverkusen,2,0,4.5,4.0,1.7
65,27,RB Leipzig,Bayern Munich,2,1,5.5,4.2,1.57
66,27,Augsburg,Werder Bremen,1,3,2.37,3.39,3.0
67,27,B. Monchengladbach,Hoffenheim,3,3,3.2,3.75,2.1
68,27,Eintracht Frankfurt,Mainz,3,0,1.75,3.6,4.75
69,27,Hamburger SV,Hertha Berlin,1,2,2.89,3.0,2.7
70,27,Wolfsburg,Schalke,0,1,4.0,3.39,2.0
71,27,Freiburg,Stuttgart,1,2,2.5,3.1,3.1
72,26,Werder Bremen,FC Koln,3,1,1.75,3.79,4.5
73,26,Dortmund,Eintracht Frankfurt,3,2,1.83,3.6,4.33
74,26,Stuttgart,RB Leipzig,0,0,3.2,3.39,2.25
75,26,Bayer Leverkusen,B. Monchengladbach,2,0,1.61,4.0,5.25
76,26,Bayern Munich,Hamburger SV,6,0,1.12,9.0,21.0
77,26,Hannover,Augsburg,1,3,2.29,3.25,3.25
78,26,Hertha Berlin,Freiburg,0,0,2.2,3.0,3.79
79,26,Hoffenheim,Wolfsburg,3,0,1.72,3.79,5.0
80,26,Mainz,Schalke,0,1,3.29,3.29,2.25
81,25,FC Koln,Stuttgart,2,3,2.5,3.25,2.87
82,25,Freiburg,Bayern Munich,0,4,7.5,4.5,1.44
83,25,Augsburg,Hoffenheim,0,2,3.0,3.29,2.37
84,25,Eintracht Frankfurt,Hannover,1,0,1.66,3.75,5.25
85,25,Hamburger SV,Mainz,0,0,2.1,3.25,3.75
86,25,RB Leipzig,Dortmund,1,1,2.1,3.6,3.29
87,25,Schalke,Hertha Berlin,1,0,1.6,3.75,6.0
88,25,Wolfsburg,Bayer Leverkusen,1,2,3.5,3.5,2.04
89,25,B. Monchengladbach,Werder Bremen,2,2,2.0,3.6,3.7
90,24,Dortmund,Augsburg,1,1,1.36,5.0,8.0
91,24,Bayer Leverkusen,Schalke,0,2,2.04,3.5,3.6
92,24,RB Leipzig,FC Koln,1,2,1.5,4.33,6.5
93,24,Bayern Munich,Hertha Berlin,0,0,1.16,7.5,17.0
94,24,Hannover,B. Monchengladbach,0,1,2.79,3.39,2.5
95,24,Hoffenheim,Freiburg,1,1,1.72,3.79,4.75
96,24,Stuttgart,Eintracht Frankfurt,1,0,2.37,3.2,3.25
97,24,Werder Bremen,Hamburger SV,1,0,2.1,3.25,3.75
98,24,Mainz,Wolfsburg,1,1,2.2,3.25,3.39
99,23,Eintracht Frankfurt,RB Leipzig,2,1,2.54,3.39,2.75
100,23,Augsburg,Stuttgart,0,1,2.04,3.29,3.6
101,23,B. Monchengladbach,Dortmund,0,1,3.5,3.6,2.04
102,23,FC Koln,Hannover,1,1,2.0,3.6,3.5
103,23,Freiburg,Werder Bremen,1,0,2.62,3.29,2.7
104,23,Hamburger SV,Bayer Leverkusen,1,2,4.0,3.5,1.95
105,23,Schalke,Hoffenheim,2,1,2.04,3.5,3.6
106,23,Wolfsburg,Bayern Munich,1,2,7.5,4.5,1.44
107,23,Hertha Berlin,Mainz,0,2,2.0,3.39,3.89
108,22,Stuttgart,B. Monchengladbach,1,0,2.39,3.29,3.0
109,22,Werder Bremen,Wolfsburg,3,1,1.85,3.6,4.2
110,22,Bayer Leverkusen,Hertha Berlin,0,2,1.5,4.5,6.5
111,22,Bayern Munich,Schalke,2,1,1.22,7.0,11.0
112,22,Dortmund,Hamburger SV,2,0,1.36,5.0,8.5
113,22,Eintracht Frankfurt,FC Koln,4,2,1.9,3.5,4.33
114,22,Hannover,Freiburg,2,1,2.0,3.5,3.75
115,22,Hoffenheim,Mainz,4,2,1.6,4.0,5.5
116,22,RB Leipzig,Augsburg,2,0,1.75,3.6,5.0
117,21,Augsburg,Eintracht Frankfurt,3,0,2.45,3.2,3.0
118,21,Hamburger SV,Hannover,1,1,2.04,3.29,3.6
119,21,B. Monchengladbach,RB Leipzig,0,1,2.6,3.39,2.7
120,21,Freiburg,Bayer Leverkusen,0,0,4.2,3.79,1.8
121,21,Hertha Berlin,Hoffenheim,1,1,3.0,3.29,2.39
122,21,Mainz,Bayern Munich,0,2,9.0,4.75,1.36
123,21,Schalke,Werder Bremen,1,2,1.8,3.5,4.75
124,21,Wolfsburg,Stuttgart,1,1,2.04,3.5,3.6
125,21,FC Koln,Dortmund,2,3,5.0,3.79,1.72
126,20,Bayer Leverkusen,Mainz,2,0,1.44,4.59,7.0
127,20,Hannover,Wolfsburg,0,1,2.2,3.5,3.0
128,20,Bayern Munich,Hoffenheim,5,2,1.25,6.5,11.0
129,20,Dortmund,Freiburg,2,2,1.33,5.0,10.0
130,20,FC Koln,Augsburg,1,1,3.0,3.29,2.37
131,20,RB Leipzig,Hamburger SV,1,1,1.53,4.0,6.5
132,20,Stuttgart,Schalke,0,2,2.79,3.25,2.6
133,20,Werder Bremen,Hertha Berlin,0,0,1.9,3.6,4.0
134,20,Eintracht Frankfurt,B. Monchengladbach,2,0,2.39,3.39,2.89
135,19,Bayern Munich,Werder Bremen,4,2,1.12,9.0,21.0
136,19,Schalke,Hannover,1,1,1.53,4.2,6.25
137,19,B. Monchengladbach,Augsburg,2,0,2.14,3.5,3.29
138,19,Freiburg,RB Leipzig,2,1,3.5,3.6,2.0
139,19,Hamburger SV,FC Koln,0,2,1.9,3.5,4.2
140,19,Hoffenheim,Bayer Leverkusen,1,4,2.79,3.75,2.39
141,19,Mainz,Stuttgart,3,2,2.79,3.2,2.7
142,19,Wolfsburg,Eintracht Frankfurt,1,3,2.45,3.2,3.0
143,19,Hertha Berlin,Dortmund,1,1,3.5,3.5,2.1
144,18,Dortmund,Wolfsburg,0,0,1.53,4.5,5.5
145,18,FC Koln,B. Monchengladbach,2,1,3.2,3.39,2.25
146,18,Augsburg,Hamburger SV,1,0,1.75,3.5,5.0
147,18,Eintracht Frankfurt,Freiburg,1,1,2.0,3.39,3.79
148,18,Hannover,Mainz,3,2,2.25,3.39,3.1
