,FIFA,Name,Nationality,OVR,POT,Positions,Age,Team,Height,Weight,Foot,WorkRate,WeakFoot,SkillMoves,Value,Wage,Ball_Control,Dribbling,Marking,Slide_Tackle,Stand_Tackle,Aggression,Reactions,Att._Position,Interceptions,Vision,Crossing,Short_Pass,Long_Pass,Acceleration,Stamina,Strength,Balance,Sprint_Speed,Agility,Jumping,Heading,Shot_Power,Finishing,Long_Shots,Curve,FK_Acc.,Penalties,Volleys,GK_Positioning,GK_Diving,GK_Handling,GK_Kicking,GK_Reflexes
0,12,Eljero Elia,Netherlands,80,87,LM/LW/CF/CAM,23,Hamburger SV,176,70,Right,,5,82,89,18,24,23,44,76,79,37,77,77,77,66,89,74,62,75,91,91,60,60,71,74,63,67,51,64,69,14,10,12,5,7,,,
1,12,Per Mertesacker,Germany,83,85,CB,25,Werder Bremen,198,90,Right,,1,62,29,89,83,90,76,78,48,84,73,38,70,58,58,79,84,86,64,43,77,92,73,23,25,39,45,32,30,12,12,13,5,8,,,
2,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
3,12,Sokratis,Greece,76,80,CB/RB/LB,23,Werder Bremen,183,82,Right,Medium/High,3,2,5000000,35000,65,56,75,77,81,79,74,40,75,39,67,67,59,70,67,81,62,72,64,76,76,63,45,50,47,47,64,58,12,6,8.0,5.0,5.0
4,12,Ivo Iličević,Croatia,77,80,LM/CAM/RM/CF,25,Kaiserslautern,174,67,Right,Medium/Medium,5,3,6500000,30000,78,83,18,34,32,65,74,74,34,72,80,76,69,80,68,54,81,80,84,68,57,86,72,88,73,70,72,75,10,10,9.0,11.0,14.0
5,12,Chinedu Obasi,Nigeria,78,81,ST/CF/RF/RW,24,TSG 1899 Hoffenheim,188,79,Right,,4,80,85,19,13,20,64,80,78,41,57,72,78,42,90,68,68,71,93,77,67,68,82,75,64,65,75,63,72,10,6,9,11,12,,,
6,12,Serdar Tasci,Germany,78,81,CB/RB,24,Stuttgart,186,80,Right,Medium/Medium,4,2,8500000,30000,73,57,77,78,81,72,76,38,78,56,49,76,69,67,65,78,58,66,59,75,81,63,24,33,36,44,58,49,13,13,9.0,15.0,5.0
7,12,Simon Kjær,Denmark,76,78,CB/CDM,24,VfL Wolfsburg,190,82,Right,Low/Medium,3,2,3800000,30000,71,46,79,74,78,75,74,31,76,49,48,72,69,62,64,79,58,62,48,60,79,66,32,41,34,47,46,37,10,6,10.0,13.0,15.0
8,12,Uwe Möhrle,Germany,70,70,CB/RB,32,Augsburg,188,80,Right,Medium/Medium,3,2,900000,7000,62,42,71,67,73,77,67,21,66,45,54,58,41,48,62,78,38,46,51,61,78,69,48,34,33,45,44,31,6,14,13.0,13.0,15.0
9,12,Heiko Butscher,Germany,73,75,CB/LB/LWB/CDM,30,SC Freiburg,189,86,Left,,2,61,44,70,72,74,78,71,34,74,70,61,69,68,71,75,82,75,69,55,74,76,78,51,62,41,56,64,33,14,8,12,12,12,,,
10,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
11,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
12,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
13,12,Mario Gomez,Germany,86,87,ST/CF,26,Bayern Munich,189,88,Right,Medium/Medium,4,3,28500000,140000,75,76,19,21,22,73,89,89,31,63,72,73,51,81,67,87,64,77,70,76,86,86,90,77,66,37,73,87,7,8,8.0,9.0,14.0
14,12,Jan Morávek,Czech Republic,73,78,CAM/CM/RM,22,Schalke 04,180,75,Right,Medium/Medium,3,3,5000000,15000,76,74,18,36,35,46,76,71,48,74,72,75,73,67,73,67,70,61,73,53,57,67,73,73,63,66,68,75,11,7,12.0,5.0,7.0
15,12,Eljero Elia,Netherlands,80,87,LM/LW/CF/CAM,23,Hamburger SV,176,70,Right,,5,82,89,18,24,23,44,76,79,37,77,77,77,66,89,74,62,75,91,91,60,60,71,74,63,67,51,64,69,14,10,12,5,7,,,
16,12,Heung-Min Son,Korea Republic,75,82,ST/CF/RW/RM,21,Hamburger SV,183,76,Left,Medium/Low,5,3,5500000,15000,77,79,16,22,18,52,75,73,32,59,68,72,55,83,67,54,76,83,77,69,62,77,77,81,78,69,70,69,5,10,12.0,12.0,9.0
17,12,Heiko Butscher,Germany,73,75,CB/LB/LWB/CDM,30,SC Freiburg,189,86,Left,,2,61,44,70,72,74,78,71,34,74,70,61,69,68,71,75,82,75,69,55,74,76,78,51,62,41,56,64,33,14,8,12,12,12,,,
18,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
19,12,Anton Putsila,Belarus,73,75,RM/LM/CM/CAM,24,Freiburg,180,74,Right,Medium/Medium,4,3,2400000,10000,77,82,45,49,56,37,67,64,47,71,73,74,66,82,67,66,75,75,78,53,59,65,44,53,75,69,62,67,8,6,14.0,13.0,5.0
20,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
21,12,Chinedu Obasi,Nigeria,78,81,ST/CF/RF/RW,24,TSG 1899 Hoffenheim,188,79,Right,,4,80,85,19,13,20,64,80,78,41,57,72,78,42,90,68,68,71,93,77,67,68,82,75,64,65,75,63,72,10,6,9,11,12,,,
22,12,Simon Kjær,Denmark,76,78,CB/CDM,24,VfL Wolfsburg,190,82,Right,Low/Medium,3,2,3800000,30000,71,46,79,74,78,75,74,31,76,49,48,72,69,62,64,79,58,62,48,60,79,66,32,41,34,47,46,37,10,6,10.0,13.0,15.0
23,12,Raúl Bobadilla,Argentina,75,81,ST/CF,23,Borussia Mönchengladbach,180,82,Right,,3,75,74,13,13,18,64,74,73,29,53,61,67,56,74,77,83,83,78,74,76,74,83,74,68,60,49,64,77,7,12,12,11,10,,,
24,12,Per Mertesacker,Germany,83,85,CB,25,Werder Bremen,198,90,Right,,1,62,29,89,83,90,76,78,48,84,73,38,70,58,58,79,84,86,64,43,77,92,73,23,25,39,45,32,30,12,12,13,5,8,,,
25,12,Wesley,Brazil,76,85,CM/RM/CAM,23,Werder Bremen,179,63,Right,,4,78,79,75,64,74,72,75,81,76,70,76,79,75,83,89,53,72,85,86,70,58,76,71,74,69,66,68,69,8,5,9,13,10,,,
26,12,Raúl Bobadilla,Argentina,75,81,ST/CF,23,Borussia Mönchengladbach,180,82,Right,,3,75,74,13,13,18,64,74,73,29,53,61,67,56,74,77,83,83,78,74,76,74,83,74,68,60,49,64,77,7,12,12,11,10,,,
27,12,Simon Kjær,Denmark,76,78,CB/CDM,24,VfL Wolfsburg,190,82,Right,Low/Medium,3,2,3800000,30000,71,46,79,74,78,75,74,31,76,49,48,72,69,62,64,79,58,62,48,60,79,66,32,41,34,47,46,37,10,6,10.0,13.0,15.0
28,12,Heung-Min Son,Korea Republic,75,82,ST/CF/RW/RM,21,Hamburger SV,183,76,Left,Medium/Low,5,3,5500000,15000,77,79,16,22,18,52,75,73,32,59,68,72,55,83,67,54,76,83,77,69,62,77,77,81,78,69,70,69,5,10,12.0,12.0,9.0
29,12,Per Mertesacker,Germany,83,85,CB,25,Werder Bremen,198,90,Right,,1,62,29,89,83,90,76,78,48,84,73,38,70,58,58,79,84,86,64,43,77,92,73,23,25,39,45,32,30,12,12,13,5,8,,,
30,12,Raphael Wolf,Germany,68,73,GK,25,SV Werder Bremen,190,86,Right,Medium/Medium,3,1,800000,5000,20,13,13,13,12,27,64,9,13,4,10,20,19,36,27,65,31,37,44,63,14,23,10,12,12,10,22,10,70,69,65.0,65.0,71.0
31,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
32,12,Yacine Abdessadki,Morocco,71,76,CAM/RM/LM/RW,29,SC Freiburg,175,70,Right,,3,71,76,37,67,63,68,67,72,57,74,68,73,69,80,81,67,68,78,78,68,64,72,62,71,58,36,64,71,12,7,12,10,15,,,
33,12,Daniel Williams,Germany,60,69,CDM/LB/CB/RB,21,SC Freiburg,184,75,Left,,2,58,59,58,65,64,64,58,41,54,50,47,60,56,67,68,66,59,67,65,72,64,50,28,35,36,31,52,36,10,11,11,6,5,,,
34,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
35,12,Chinedu Obasi,Nigeria,78,81,ST/CF/RF/RW,24,TSG 1899 Hoffenheim,188,79,Right,,4,80,85,19,13,20,64,80,78,41,57,72,78,42,90,68,68,71,93,77,67,68,82,75,64,65,75,63,72,10,6,9,11,12,,,
36,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
37,12,Heung-Min Son,Korea Republic,75,82,ST/CF/RW/RM,21,Hamburger SV,183,76,Left,Medium/Low,5,3,5500000,15000,77,79,16,22,18,52,75,73,32,59,68,72,55,83,67,54,76,83,77,69,62,77,77,81,78,69,70,69,5,10,12.0,12.0,9.0
38,12,Andrezinho,Brazil,68,70,RWB/RM/LB/RB,28,1. FC Köln,173,67,Right,,2,70,66,65,71,67,73,63,59,63,53,73,67,59,75,73,67,67,73,72,56,55,69,43,58,69,74,60,43,11,11,14,8,13,,,
39,12,Felix Bastians,Germany,69,77,LB/CB/LM/LWB,22,SC Freiburg,188,83,Left,,2,67,65,66,68,73,64,66,54,67,60,66,67,60,74,75,77,73,76,60,66,68,73,47,48,52,42,54,55,10,5,7,13,11,,,
40,12,Maximillian Nicu,Romania,71,74,LM/RM/CAM/ST,27,SC Freiburg,185,75,Right,,3,71,72,16,31,28,56,67,61,56,71,70,71,64,76,74,71,67,77,74,61,56,72,69,66,69,71,67,67,14,11,15,11,6,,,
41,12,Papiss Demba Cissé,Senegal,72,78,ST/CF/RF/LF,25,SC Freiburg,183,73,Right,,3,73,72,12,18,18,60,73,74,29,59,65,69,59,76,72,69,74,75,76,71,70,73,75,64,75,50,74,67,12,7,9,11,11,,,
42,12,Sotirios Kyrgiakos,Greece,71,71,CB,34,VfL Wolfsburg,193,88,Right,Low/Medium,2,2,475000,9000,44,33,72,65,72,81,71,32,68,31,40,50,50,33,52,90,33,34,39,61,84,55,38,38,29,33,41,33,5,11,12.0,15.0,9.0
43,12,Martin Amedick,Germany,72,76,CB/RB,27,1. FC Kaiserslautern,194,85,Right,,2,61,36,72,67,76,68,69,56,68,63,32,64,61,64,70,81,76,71,52,77,78,68,30,33,23,36,53,37,5,10,7,13,7,,,
44,12,Clemens Walch,Austria,66,71,CAM/RM/CF/LM,23,1. FC Kaiserslautern,181,74,Right,,3,69,68,13,22,16,51,67,67,34,65,64,70,65,74,71,67,67,77,68,66,48,64,63,53,46,57,65,56,9,10,7,7,6,,,
45,12,Chinedu Obasi,Nigeria,78,81,ST/CF/RF/RW,24,TSG 1899 Hoffenheim,188,79,Right,,4,80,85,19,13,20,64,80,78,41,57,72,78,42,90,68,68,71,93,77,67,68,82,75,64,65,75,63,72,10,6,9,11,12,,,
